S.N,Actual Value,Predicted Value,News Content
38,0,0,sc stay nrb governor suspension kathmandu april supreme court today issue short term stay order suspension nepal rastra bank governor maha prasad adhikari apex court also issue show cause notice government ask side present arguments next hear april court would decide whether interim order issue suspension adhikari adhikari file writ petition sc sunday demand reinstatement challenge government decision form three member committee initiate probe nepal rastra bank act stipulate governor official nrb shall automatically suspend government launch investigation adhikari argue petition government decide form three member probe committee without prove level charge inefficiency state decision form three member committee wrong also one members committee former justice sc purushottam bhandari relate finance minister janardan sharma government form three member probe committee blame adhikari current economic mess lawyers however argue adhikari offer suggestions government overcome crisis government ignore suggestions lead current economic crisis also claim adhikari urge government control rise import avail adhikari claim finance minister action influence decision freeze account business person send almost rs million unite state without know source income single bench justice hari prasad phuyal issue stay order
39,0,1,cec thapaliya decry weaken poll integrity undemocratic kathmandu april chief election commissioner dinesh kumar thapaliya today say tendency weaken election integrity contaminate poll relate activities could democratic initiatives take create conducive environment hold may local election fair fearless discipline way efforts doubt say event organise today election commission programme support press council nepal federation nepali journalists feel somehow difficulties carry electoral reform effectively due culture entertain change take personally say electoral reform implement discussion stakeholders clarify decide organise local poll single phase single day elections hold single phase single day could result organise poll fair free impartial way explain ec take risk allocate election symbols party except national recognition pave way participate election despite clear legal provision effect miss decision new us ec team accord chief election commissioner political party advise implementation article provide women right participate body state basis principle proportional inclusion article right social justice would help enhance women representation participation inclusion election state election become extravagant poll run risk influence money resources instead party principles ideologies say ec fix ceiling election expenditure reason say election code conduct draft act suggestions body concern ec hop see effective implementation monitor carry participation body concern acknowledge contribution media take nation towards election process urge mediapersons fully comply journalists code conduct election code conduct media house expect prove professionalism credibility independence fearlessness fulfil responsibility towards citizens propose ban supply consumption alcoholic products electoral silence period avert untoward influence among voters accord thapaliya council chairperson bal krishna basnet urge media fully abide journalists code conduct election code conduct say responsibility follow code conduct media play role cover election free fearless environment similarly fnj president bipul pokharel opine media play significant role take voters poll station help hold election fearless manner pokharel say journalists actively show neutrality poll occasion orientation issue election code conduct news dissemination give photo journalists online media journalists journalists write election secretary ec kamal bhattarai give presentation election code conduct implementation collaboration photo journalists similarly photo journalist bikas rauniyar give presentation photo journalism past future photo journalist bikas karki election relate news collection report photo journalism likewise senior journalist hari bahadur thapa present work paper election relate news collection report ec secretary surya prasad aryal present election code conduct media sector media expert kiran chapagain prevention misinformation hate speech possible impact election version article appear print april himalayan time
40,0,1,stay alert fake news press council nepal chief kathmandu april chair press council nepal bal krishna basnet caution public avoid wrong information time elections remain high risk fake news time carefulness need prior disseminate every news every media house ask journalists remain cautious regard issue basnet say say chance production sponsor news within country abroad suggest nepali media consider disseminate content basnet speak one day orientation organise press council nepal federation nepali journalists today every journalist protect misinformation disinformation fake news accord basnet press become strong credibility mediapersons unite maintain credibility basnet add election commission entrust council carry task media monitor media code conduct time election basnet share council carry task monitor radio tv print media online media social network sit last thursday version article appear print april himalayan time
41,0,1,take three days complete vote process humla april locals maspur tajakot rural municipality humla compel spend three days reach vote centre locals say would cast ballot vote centre far village vote centre villagers maspur fix kailash basic level school day walk villagers villagers say spend whole day reach vote centre another one day cast ballot one day return home population village households many ten people years village accord ward office authority concern pay attention even though district election office administration office inform problem face villagers due lack vote centre nearby area seventy year old jyokhya budha village say could take part vote vote centre far village say one carry vote centre strength reach vote centre deprive basic right due reason say add take part previous local province federal elections reason similarly aause rokaya aakha damai among others deprive vote right villagers voters identity card tek bahadur rokaya local say id card mean vote centre far village non gazette officer district election office humla shyam bahadur rana say office plan add election centre say vote centre essential villagers vote centre far away humla chief district officer sita pariyar say voters maspur spend ten hours reach vote centre say ministry election office concern departments inform take initiative regard add depend centre establish vote centre maspur information officer election office surya prasad aryal say office yet inform say vote centre change per recommendation district committee last year impossible establish vote centre election near add say vote centre could establish villagers next election locals say demand vote centre long back say carry food materials cast vote state pay attention remote area pregnant women elderly citizens among others would take part election version article appear print april himalayan time
42,0,0,imf say loan sri lanka require debt sustainability washington april international monetary fund say discussions sri lanka potential imf loan program early stage deal would require adequate assurances island country debts put sustainable path statement email reuters imf sri lanka mission chief masahiro nozaki say imf manage director kristalina georgieva discuss lend options policy plan sri lankan delegation tuesday imf support program design resolve sri lanka acute balance payments problems put economy back sustainable growth path early possible nozaki say statement come protest response shortages fuel essentials turn deadly tuesday sri lanka finance minister formally ask fund rapid finance instrument loan countries need urgent balance payments support read full story nozaki say imf concern current economic crisis sri lanka hardships suffer people especially poor vulnerable note imf staff determine last month annual economic review sri lanka public debt unsustainable country need take step restore debt sustainability prior imf lend include emergency rapid finance instrument rfi restoration debt sustainability typically require restructure reprofiling public debts sri lanka case would require cooperation china one largest bilateral creditors imf use low conditionality rfi loan extensively assist countries covid pandemic provide loan ease balance payments problems natural disasters conflict commodity price shock considerations would need examine potential rfi sri lanka adequate assurances obtain debt sustainability resolve nozaki say add specific design sri lanka imf loan include program target conditionality would agree extensive discussions government imf staff discussions still early stage nozaki say
43,0,1,uml endorse election manifesto kathmandu april cpn uml endorse draft manifesto prepare local level election party meet hold party chair resident balkot endorse manifesto accord deputy general secretary prithvi subba gurung committee form leadership senior deputy chairperson ishwor pokhrel uml schedule make public commitment paper april meet also direct party rank file devote election
44,0,0,minister regmi undergo treatment bir hospital kathmandu april minister women children senior citizen uma regmi undergo treatment head injury bir hospital since last wednesday accord minister sister chali kumari sharma minister regmi accidently injure head sleep bed rest official residence lalitpur run fever develop severe headache admit country oldest healthcare facility develop complications head inform sister sharma mri report regmi reveal blood clot outer part cortex treatment minister sharma take forward accord hospital
45,0,1,canada nepal benefit trade investment cooperation kathmandu april ambassador canada nepal cameron mackay present credentials president bidhya devi bhandari recently ambassador mackay first visit nepal years ago backpacker delight opportunity represent country nepal ram kumar kamat himalayan time talk ambassador mackay regard issue nepal canada relations prospect growth bilateral relations countries future excerpt present state bilateral relations canada nepal share priorities democracies stand rule base international order also share priority human right vote unite nations recently russian invasion ukraine reflect share viewpoints reflect share viewpoints international issue establish diplomatic relations relations always remain amicable cordial start develop cooperation nepal since initially provide million dollars development cooperation fund reach million dollars annually cov id pandemic try best help nepal provide assistance vaccines ppes ventilators nepal canada assist nepal reconstruction bid aftermath earthquake government react soon earthquake send disaster relief materials worth million dollars nepal important canada come assistance immediately quake hit nepal nepal canada benefit trade investment cooperation little trade two countries possibility enhance trade two countries yes areas bilateral trade amount approximately million plenty opportunities grow relationship across number key sectors include civil aviation urban infrastructure information communications technology clean technology hydropower alternative energy generation water wastewater etc agriculture agrifood education february canada nepal hold virtual series dam hydro industry canadian embassy lead delegation canadian company showcased expertise canadian hydro consultants equipment manufacturers instrumentation capabilities nepal hydro industry april six canadian company participate himalayan hydro expo kathmandu march embassy canada conduct virtual canada nepal dam hydro session saw participation nine canadian company january first nepal canada sustainable hydro workshop organise kathmandu several canadian company active asian development bank hydro project fund world bank nepal include hatch stantec snc lavalin manitoba hydro international would like increase trade investment present trade two countries amount million annually canada work representative nepalese business community facilitate business partnerships canada also plan several business missions come year canadian tourists also contribute nepal economy onslaught covid pandemic around canadian tourists visit nepal annually covid pandemic decline number canadian tourists visit nepal effort least maintain rate tourist arrivals nepal canada like pre covid era potential country cooperation nepal hydropower development canada considerable expertise develop hydroelectricity nepal huge potential hydropower generation canada good expertise hydel sector help nepal expand hydel capacity also encourage nepal export agro products nepali diaspora canada think also help promote trade investment relations two countries education sector two countries foster cooperation per cent increase nepali students study canada since nepali students december since nepal eligibility benefit study canada scholarships program short term academic exchange think every year around nepali students come canada pursue higher study students complain face hassle get visa canada try address concern covid pandemic staff work home lead huge backlog globally improve situation take time catch normal schedule express happiness vote favour ukrainian sovereignty territorial integrity un assess nepal engagements international fora member un canada want coordinate countries defend rule base international order nepal grow democracy neither nepal canada great power rather canada nepal surround great power think coordinate responses ensure great power follow rule version article appear print april himalayan time
46,0,1,five party alliance safeguard democracy paudel kathmandu april senior leader nepali congress ramchandra paudel say five party alliance form safeguard democracy institutionalise change speak programme organise establishment day nepal students union student wing nc today paudel opine alliance form power promote system instead alliance forge make sher bahadur deuba prime minister protect democracy change country say nsu bear king mahendra impose tyrannical rule dissolve parliament play significant role take nation towards democratic path insist give full shape nsu central work committee soon paudel also found member nsu call take organisation village school level increase number members consolidate nsu nc vice president dhanraj gurung laud role nsu nepali politics stress need take organisation ahead guardian institute students nc general secretary bishwa prakash sharma claim incumbent coalition government form protection constitution alliance local poll need time state nc would strong nsu strengthen nc joint general secretary badri pandey stress need consolidate organisation nc spokesperson central member prakash sharan mahat say nsu carry party history follow democratic procedure culture system similarly nc central member home minister bal krishna khand point need nsu big role country democratic movements nc become stronger nsu get consolidate republican democratic norms value press freedom get strong nc strengthen similarly nsu president dujang sherpa chairperson annisu pancha singh chairperson nepal national free students union unify socialist sudesh parajuli stress need student organisations come together cut challenge student movements safeguard democracy constitution chairperson student council college biomedical engineer apply sciences dipraj budhathoki defect nc nc vice president gurung general secretary sharma welcome version article appear print april himalayan time
47,0,1,conspiracy afoot break coalition pm kathmandu april prime minister sher bahadur deuba today say conspiracy hatch break current rule coalition address programme organise occasion anniversary nepal student union student wing nepali congress pm say efforts make keep coalition intact view coalition break cost pm add pm deuba say nc benefit alliance get chief minister minister provinces feel do good work party add pm say due kind electoral system new constitution adopt single party position win simple majority say give take natural thing coalition rule coalition partner accept largest partner seat also right demand per strength deuba add say current coalition fell apart nc leaders cadres would feel insecure kp sharma oli lead government cadres across country terrorise government want us change government reason dislodge oli power deuba say advise student leaders excellent study student politics cannot win elections colleges cannot win elections deuba add ask party student wing go villages school increase party influence pm say confidence force would defeat party upcoming elections provide stay unite version article appear print april himalayan time
48,0,1,local reps must quit contest poll kathmandu april supreme court quash writ petition file chairperson helambu rural municipality sindhupalchowk nima gyaljen sherpa challenge election code conduct require sit local representatives resign want contest upcoming elections division bench justices tej bahadur kc til prasad shrestha quash sherpa petition apex court yet release full text verdict petitioner argue poll code provision require local representatives resign file nomination local poll slat may unlawful contradictory provincial federal members executive require resign file nomination paper ec argue say code mean create level play field candidates spokesperson sc bimal poudel say quash writ petition mean poll code issue election commission would enforce sc decision quash sherpa petition mean local representatives resign file nomination paper want contest elections commission set april nomination file date march supreme court issue short term interim order new election code require local representatives want contest upcoming civic poll resign file nomination paper may civil poll elect representatives local level version article appear print april himalayan time
49,0,1,melamchi water valley residents sunday kathmandu april melamchi river water reach sundarijal kathmandu base storage system monday storage facility fill next days start distribution water inside kathmandu valley april melamchi water supply development board authorities say water would send purification centre sundarijal days melamchi river water reach sundarijal kathmandu base storage system around last night storage facility fill next days start distribution water inside kathmandu valley april onwards melamchi water supply development board authorities say water visible wash channel last night mean melamchi water arrive sundarijal first flow water use clear possible debris collect inside tunnel close since june last year water use clean tunnel drain bagmati river saw increase water level morning drain water river water channel storage facility send purification centre sundarijal days ill fat melamchi project come halt come operation around month day mwsdb authorities close main door head work massive flood head work area project around kilometres uphill melamchi bazaar luckily close iron door stop debris mud flow inside tunnel however head work area around square metres cover feet high stone pebbles mud around month project start authorities later find impossible remove mountain debris collect head work especially since flood wash away road multiple bridge head work however engineer authorities channel water inside tunnel alternate mean directly flow river water tunnel without proper head work remain threat flood debris could easily enter tunnel damage approximately years inauguration melamchi drink water project authorities test water march kathmanduites able get water supply home first time soon project start supply million litres water per day sure project operate capacity version article appear print april himalayan time
,,True = 23,
,,False = 27,
